ObjectId,Country,ISO2,ISO3,Indicator,Unit,Source,CTS_Code,CTS_Name,CTS_Full_Descriptor,F2019
11,Austria,AT,AUT,Exposure,Index,"Peszko, Grzegorz; van der Mensbrugghe, Dominique; Golub, Alexander; Ward, John; Zenghelis, Dimitri; Marijs, Cor; Schopp, Anne; Rogers, John A.; Midgley, Amelia. 2020. Preparedness of Countries to Low-Carbon Transition (Chapter 5). In: Diversification and Cooperation in a Decarbonizing World : Climate Strategies for Fossil Fuel-Dependent Countries. Climate Change and Development. Washington, DC: World Bank. © World Bank. https://openknowledge.worldbank.org/handle/10986/34011 License: CC BY 3.0 IGO. Accessed on 2021-10-15.",ECFTPE,"Preparedness of Countries for a Low-Carbon Transition; Exposure","Environment, Climate Change, Financial and Physical and Transition Risk Indicators, Transition Risks, Preparedness of Countries for a Low-Carbon Transition, Exposure",0.25914759465387
12,Austria,AT,AUT,Resilience,Index,"Peszko, Grzegorz; van der Mensbrugghe, Dominique; Golub, Alexander; Ward, John; Zenghelis, Dimitri; Marijs, Cor; Schopp, Anne; Rogers, John A.; Midgley, Amelia. 2020. Preparedness of Countries to Low-Carbon Transition (Chapter 5). In: Diversification and Cooperation in a Decarbonizing World : Climate Strategies for Fossil Fuel-Dependent Countries. Climate Change and Development. Washington, DC: World Bank. © World Bank. https://openknowledge.worldbank.org/handle/10986/34011 License: CC BY 3.0 IGO. Accessed on 2021-10-15.",ECFTPR,"Preparedness of Countries for a Low-Carbon Transition; Resilience","Environment, Climate Change, Financial and Physical and Transition Risk Indicators, Transition Risks, Preparedness of Countries for a Low-Carbon Transition, Resilience",0.308713687003501
13,"Azerbaijan, Rep. of",AZ,AZE,Exposure,Index,"Peszko, Grzegorz; van der Mensbrugghe, Dominique; Golub, Alexander; Ward, John; Zenghelis, Dimitri; Marijs, Cor; Schopp, Anne; Rogers, John A.; Midgley, Amelia. 2020. Preparedness of Countries to Low-Carbon Transition (Chapter 5). In: Diversification and Cooperation in a Decarbonizing World : Climate Strategies for Fossil Fuel-Dependent Countries. Climate Change and Development. Washington, DC: World Bank. © World Bank. https://openknowledge.worldbank.org/handle/10986/34011 License: CC BY 3.0 IGO. Accessed on 2021-10-15.",ECFTPE,"Preparedness of Countries for a Low-Carbon Transition; Exposure","Environment, Climate Change, Financial and Physical and Transition Risk Indicators, Transition Risks, Preparedness of Countries for a Low-Carbon Transition, Exposure",0.68266674851017
14,"Azerbaijan, Rep. of",AZ,AZE,Resilience,Index,"Peszko, Grzegorz; van der Mensbrugghe, Dominique; Golub, Alexander; Ward, John; Zenghelis, Dimitri; Marijs, Cor; Schopp, Anne; Rogers, John A.; Midgley, Amelia. 2020. Preparedness of Countries to Low-Carbon Transition (Chapter 5). In: Diversification and Cooperation in a Decarbonizing World : Climate Strategies for Fossil Fuel-Dependent Countries. Climate Change and Development. Washington, DC: World Bank. © World Bank. https://openknowledge.worldbank.org/handle/10986/34011 License: CC BY 3.0 IGO. Accessed on 2021-10-15.",ECFTPR,"Preparedness of Countries for a Low-Carbon Transition; Resilience","Environment, Climate Change, Financial and Physical and Transition Risk Indicators, Transition Risks, Preparedness of Countries for a Low-Carbon Transition, Resilience",0.649671357672754
15,Bangladesh,BD,BGD,Exposure,Index,"Peszko, Grzegorz; van der Mensbrugghe, Dominique; Golub, Alexander; Ward, John; Zenghelis, Dimitri; Marijs, Cor; Schopp, Anne; Rogers, John A.; Midgley, Amelia. 2020. Preparedness of Countries to Low-Carbon Transition (Chapter 5). In: Diversification and Cooperation in a Decarbonizing World : Climate Strategies for Fossil Fuel-Dependent Countries. Climate Change and Development. Washington, DC: World Bank. © World Bank. https://openknowledge.worldbank.org/handle/10986/34011 License: CC BY 3.0 IGO. Accessed on 2021-10-15.",ECFTPE,"Preparedness of Countries for a Low-Carbon Transition; Exposure","Environment, Climate Change, Financial and Physical and Transition Risk Indicators, Transition Risks, Preparedness of Countries for a Low-Carbon Transition, Exposure",0.348827367346234
16,Bangladesh,BD,BGD,Resilience,Index,"Peszko, Grzegorz; van der Mensbrugghe, Dominique; Golub, Alexander; Ward, John; Zenghelis, Dimitri; Marijs, Cor; Schopp, Anne; Rogers, John A.; Midgley, Amelia. 2020. Preparedness of Countries to Low-Carbon Transition (Chapter 5). In: Diversification and Cooperation in a Decarbonizing World : Climate Strategies for Fossil Fuel-Dependent Countries. Climate Change and Development. Washington, DC: World Bank. © World Bank. https://openknowledge.worldbank.org/handle/10986/34011 License: CC BY 3.0 IGO. Accessed on 2021-10-15.",ECFTPR,"Preparedness of Countries for a Low-Carbon Transition; Resilience","Environment, Climate Change, Financial and Physical and Transition Risk Indicators, Transition Risks, Preparedness of Countries for a Low-Carbon Transition, Resilience",0.823120055536935
17,Belgium,BE,BEL,Exposure,Index,"Peszko, Grzegorz; van der Mensbrugghe, Dominique; Golub, Alexander; Ward, John; Zenghelis, Dimitri; Marijs, Cor; Schopp, Anne; Rogers, John A.; Midgley, Amelia. 2020. Preparedness of Countries to Low-Carbon Transition (Chapter 5). In: Diversification and Cooperation in a Decarbonizing World : Climate Strategies for Fossil Fuel-Dependent Countries. Climate Change and Development. Washington, DC: World Bank. © World Bank. https://openknowledge.worldbank.org/handle/10986/34011 License: CC BY 3.0 IGO. Accessed on 2021-10-15.",ECFTPE,"Preparedness of Countries for a Low-Carbon Transition; Exposure","Environment, Climate Change, Financial and Physical and Transition Risk Indicators, Transition Risks, Preparedness of Countries for a Low-Carbon Transition, Exposure",0.205517682201241
18,Belgium,BE,BEL,Resilience,Index,"Peszko, Grzegorz; van der Mensbrugghe, Dominique; Golub, Alexander; Ward, John; Zenghelis, Dimitri; Marijs, Cor; Schopp, Anne; Rogers, John A.; Midgley, Amelia. 2020. Preparedness of Countries to Low-Carbon Transition (Chapter 5). In: Diversification and Cooperation in a Decarbonizing World : Climate Strategies for Fossil Fuel-Dependent Countries. Climate Change and Development. Washington, DC: World Bank. © World Bank. https://openknowledge.worldbank.org/handle/10986/34011 License: CC BY 3.0 IGO. Accessed on 2021-10-15.",ECFTPR,"Preparedness of Countries for a Low-Carbon Transition; Resilience","Environment, Climate Change, Financial and Physical and Transition Risk Indicators, Transition Risks, Preparedness of Countries for a Low-Carbon Transition, Resilience",0.357175304557364
19,Bolivia,BO,BOL,Exposure,Index,"Peszko, Grzegorz; van der Mensbrugghe, Dominique; Golub, Alexander; Ward, John; Zenghelis, Dimitri; Marijs, Cor; Schopp, Anne; Rogers, John A.; Midgley, Amelia. 2020. Preparedness of Countries to Low-Carbon Transition (Chapter 5). In: Diversification and Cooperation in a Decarbonizing World : Climate Strategies for Fossil Fuel-Dependent Countries. Climate Change and Development. Washington, DC: World Bank. © World Bank. https://openknowledge.worldbank.org/handle/10986/34011 License: CC BY 3.0 IGO. Accessed on 2021-10-15.",ECFTPE,"Preparedness of Countries for a Low-Carbon Transition; Exposure","Environment, Climate Change, Financial and Physical and Transition Risk Indicators, Transition Risks, Preparedness of Countries for a Low-Carbon Transition, Exposure",0.423081336327634
20,Bolivia,BO,BOL,Resilience,Index,"Peszko, Grzegorz; van der Mensbrugghe, Dominique; Golub, Alexander; Ward, John; Zenghelis, Dimitri; Marijs, Cor; Schopp, Anne; Rogers, John A.; Midgley, Amelia. 2020. Preparedness of Countries to Low-Carbon Transition (Chapter 5). In: Diversification and Cooperation in a Decarbonizing World : Climate Strategies for Fossil Fuel-Dependent Countries. Climate Change and Development. Washington, DC: World Bank. © World Bank. https://openknowledge.worldbank.org/handle/10986/34011 License: CC BY 3.0 IGO. Accessed on 2021-10-15.",ECFTPR,"Preparedness of Countries for a Low-Carbon Transition; Resilience","Environment, Climate Change, Financial and Physical and Transition Risk Indicators, Transition Risks, Preparedness of Countries for a Low-Carbon Transition, Resilience",0.795402323067084
21,Botswana,BW,BWA,Exposure,Index,"Peszko, Grzegorz; van der Mensbrugghe, Dominique; Golub, Alexander; Ward, John; Zenghelis, Dimitri; Marijs, Cor; Schopp, Anne; Rogers, John A.; Midgley, Amelia. 2020. Preparedness of Countries to Low-Carbon Transition (Chapter 5). In: Diversification and Cooperation in a Decarbonizing World : Climate Strategies for Fossil Fuel-Dependent Countries. Climate Change and Development. Washington, DC: World Bank. © World Bank. https://openknowledge.worldbank.org/handle/10986/34011 License: CC BY 3.0 IGO. Accessed on 2021-10-15.",ECFTPE,"Preparedness of Countries for a Low-Carbon Transition; Exposure","Environment, Climate Change, Financial and Physical and Transition Risk Indicators, Transition Risks, Preparedness of Countries for a Low-Carbon Transition, Exposure",0.58674074526546
22,Botswana,BW,BWA,Resilience,Index,"Peszko, Grzegorz; van der Mensbrugghe, Dominique; Golub, Alexander; Ward, John; Zenghelis, Dimitri; Marijs, Cor; Schopp, Anne; Rogers, John A.; Midgley, Amelia. 2020. Preparedness of Countries to Low-Carbon Transition (Chapter 5). In: Diversification and Cooperation in a Decarbonizing World : Climate Strategies for Fossil Fuel-Dependent Countries. Climate Change and Development. Washington, DC: World Bank. © World Bank. https://openknowledge.worldbank.org/handle/10986/34011 License: CC BY 3.0 IGO. Accessed on 2021-10-15.",ECFTPR,"Preparedness of Countries for a Low-Carbon Transition; Resilience","Environment, Climate Change, Financial and Physical and Transition Risk Indicators, Transition Risks, Preparedness of Countries for a Low-Carbon Transition, Resilience",0.603496288897251
23,Brazil,BR,BRA,Exposure,Index,"Peszko, Grzegorz; van der Mensbrugghe, Dominique; Golub, Alexander; Ward, John; Zenghelis, Dimitri; Marijs, Cor; Schopp, Anne; Rogers, John A.; Midgley, Amelia. 2020. Preparedness of Countries to Low-Carbon Transition (Chapter 5). In: Diversification and Cooperation in a Decarbonizing World : Climate Strategies for Fossil Fuel-Dependent Countries. Climate Change and Development. Washington, DC: World Bank. © World Bank. https://openknowledge.worldbank.org/handle/10986/34011 License: CC BY 3.0 IGO. Accessed on 2021-10-15.",ECFTPE,"Preparedness of Countries for a Low-Carbon Transition; Exposure","Environment, Climate Change, Financial and Physical and Transition Risk Indicators, Transition Risks, Preparedness of Countries for a Low-Carbon Transition, Exposure",0.298783688445038
24,Brazil,BR,BRA,Resilience,Index,"Peszko, Grzegorz; van der Mensbrugghe, Dominique; Golub, Alexander; Ward, John; Zenghelis, Dimitri; Marijs, Cor; Schopp, Anne; Rogers, John A.; Midgley, Amelia. 2020. Preparedness of Countries to Low-Carbon Transition (Chapter 5). In: Diversification and Cooperation in a Decarbonizing World : Climate Strategies for Fossil Fuel-Dependent Countries. Climate Change and Development. Washington, DC: World Bank. © World Bank. https://openknowledge.worldbank.org/handle/10986/34011 License: CC BY 3.0 IGO. Accessed on 2021-10-15.",ECFTPR,"Preparedness of Countries for a Low-Carbon Transition; Resilience","Environment, Climate Change, Financial and Physical and Transition Risk Indicators, Transition Risks, Preparedness of Countries for a Low-Carbon Transition, Resilience",0.65391911725358
25,Brunei Darussalam,BN,BRN,Exposure,Index,"Peszko, Grzegorz; van der Mensbrugghe, Dominique; Golub, Alexander; Ward, John; Zenghelis, Dimitri; Marijs, Cor; Schopp, Anne; Rogers, John A.; Midgley, Amelia. 2020. Preparedness of Countries to Low-Carbon Transition (Chapter 5). In: Diversification and Cooperation in a Decarbonizing World : Climate Strategies for Fossil Fuel-Dependent Countries. Climate Change and Development. Washington, DC: World Bank. © World Bank. https://openknowledge.worldbank.org/handle/10986/34011 License: CC BY 3.0 IGO. Accessed on 2021-10-15.",ECFTPE,"Preparedness of Countries for a Low-Carbon Transition; Exposure","Environment, Climate Change, Financial and Physical and Transition Risk Indicators, Transition Risks, Preparedness of Countries for a Low-Carbon Transition, Exposure",0.874933355582257
26,Brunei Darussalam,BN,BRN,Resilience,Index,"Peszko, Grzegorz; van der Mensbrugghe, Dominique; Golub, Alexander; Ward, John; Zenghelis, Dimitri; Marijs, Cor; Schopp, Anne; Rogers, John A.; Midgley, Amelia. 2020. Preparedness of Countries to Low-Carbon Transition (Chapter 5). In: Diversification and Cooperation in a Decarbonizing World : Climate Strategies for Fossil Fuel-Dependent Countries. Climate Change and Development. Washington, DC: World Bank. © World Bank. https://openknowledge.worldbank.org/handle/10986/34011 License: CC BY 3.0 IGO. Accessed on 2021-10-15.",ECFTPR,"Preparedness of Countries for a Low-Carbon Transition; Resilience","Environment, Climate Change, Financial and Physical and Transition Risk Indicators, Transition Risks, Preparedness of Countries for a Low-Carbon Transition, Resilience",0.407759261230648
27,Bulgaria,BG,BGR,Exposure,Index,"Peszko, Grzegorz; van der Mensbrugghe, Dominique; Golub, Alexander; Ward, John; Zenghelis, Dimitri; Marijs, Cor; Schopp, Anne; Rogers, John A.; Midgley, Amelia. 2020. Preparedness of Countries to Low-Carbon Transition (Chapter 5). In: Diversification and Cooperation in a Decarbonizing World : Climate Strategies for Fossil Fuel-Dependent Countries. Climate Change and Development. Washington, DC: World Bank. © World Bank. https://openknowledge.worldbank.org/handle/10986/34011 License: CC BY 3.0 IGO. Accessed on 2021-10-15.",ECFTPE,"Preparedness of Countries for a Low-Carbon Transition; Exposure","Environment, Climate Change, Financial and Physical and Transition Risk Indicators, Transition Risks, Preparedness of Countries for a Low-Carbon Transition, Exposure",0.359115603435592
28,Bulgaria,BG,BGR,Resilience,Index,"Peszko, Grzegorz; van der Mensbrugghe, Dominique; Golub, Alexander; Ward, John; Zenghelis, Dimitri; Marijs, Cor; Schopp, Anne; Rogers, John A.; Midgley, Amelia. 2020. Preparedness of Countries to Low-Carbon Transition (Chapter 5). In: Diversification and Cooperation in a Decarbonizing World : Climate Strategies for Fossil Fuel-Dependent Countries. Climate Change and Development. Washington, DC: World Bank. © World Bank. https://openknowledge.worldbank.org/handle/10986/34011 License: CC BY 3.0 IGO. Accessed on 2021-10-15.",ECFTPR,"Preparedness of Countries for a Low-Carbon Transition; Resilience","Environment, Climate Change, Financial and Physical and Transition Risk Indicators, Transition Risks, Preparedness of Countries for a Low-Carbon Transition, Resilience",0.526580133096414
29,Cambodia,KH,KHM,Exposure,Index,"Peszko, Grzegorz; van der Mensbrugghe, Dominique; Golub, Alexander; Ward, John; Zenghelis, Dimitri; Marijs, Cor; Schopp, Anne; Rogers, John A.; Midgley, Amelia. 2020. Preparedness of Countries to Low-Carbon Transition (Chapter 5). In: Diversification and Cooperation in a Decarbonizing World : Climate Strategies for Fossil Fuel-Dependent Countries. Climate Change and Development. Washington, DC: World Bank. © World Bank. https://openknowledge.worldbank.org/handle/10986/34011 License: CC BY 3.0 IGO. Accessed on 2021-10-15.",ECFTPE,"Preparedness of Countries for a Low-Carbon Transition; Exposure","Environment, Climate Change, Financial and Physical and Transition Risk Indicators, Transition Risks, Preparedness of Countries for a Low-Carbon Transition, Exposure",0.528316190731601
30,Cambodia,KH,KHM,Resilience,Index,"Peszko, Grzegorz; van der Mensbrugghe, Dominique; Golub, Alexander; Ward, John; Zenghelis, Dimitri; Marijs, Cor; Schopp, Anne; Rogers, John A.; Midgley, Amelia. 2020. Preparedness of Countries to Low-Carbon Transition (Chapter 5). In: Diversification and Cooperation in a Decarbonizing World : Climate Strategies for Fossil Fuel-Dependent Countries. Climate Change and Development. Washington, DC: World Bank. © World Bank. https://openknowledge.worldbank.org/handle/10986/34011 License: CC BY 3.0 IGO. Accessed on 2021-10-15.",ECFTPR,"Preparedness of Countries for a Low-Carbon Transition; Resilience","Environment, Climate Change, Financial and Physical and Transition Risk Indicators, Transition Risks, Preparedness of Countries for a Low-Carbon Transition, Resilience",0.786240153529303
31,Cameroon,CM,CMR,Exposure,Index,"Peszko, Grzegorz; van der Mensbrugghe, Dominique; Golub, Alexander; Ward, John; Zenghelis, Dimitri; Marijs, Cor; Schopp, Anne; Rogers, John A.; Midgley, Amelia. 2020. Preparedness of Countries to Low-Carbon Transition (Chapter 5). In: Diversification and Cooperation in a Decarbonizing World : Climate Strategies for Fossil Fuel-Dependent Countries. Climate Change and Development. Washington, DC: World Bank. © World Bank. https://openknowledge.worldbank.org/handle/10986/34011 License: CC BY 3.0 IGO. Accessed on 2021-10-15.",ECFTPE,"Preparedness of Countries for a Low-Carbon Transition; Exposure","Environment, Climate Change, Financial and Physical and Transition Risk Indicators, Transition Risks, Preparedness of Countries for a Low-Carbon Transition, Exposure",0.295835216445788
32,Cameroon,CM,CMR,Resilience,Index,"Peszko, Grzegorz; van der Mensbrugghe, Dominique; Golub, Alexander; Ward, John; Zenghelis, Dimitri; Marijs, Cor; Schopp, Anne; Rogers, John A.; Midgley, Amelia. 2020. Preparedness of Countries to Low-Carbon Transition (Chapter 5). In: Diversification and Cooperation in a Decarbonizing World : Climate Strategies for Fossil Fuel-Dependent Countries. Climate Change and Development. Washington, DC: World Bank. © World Bank. https://openknowledge.worldbank.org/handle/10986/34011 License: CC BY 3.0 IGO. Accessed on 2021-10-15.",ECFTPR,"Preparedness of Countries for a Low-Carbon Transition; Resilience","Environment, Climate Change, Financial and Physical and Transition Risk Indicators, Transition Risks, Preparedness of Countries for a Low-Carbon Transition, Resilience",0.874172973413889
33,Canada,CA,CAN,Exposure,Index,"Peszko, Grzegorz; van der Mensbrugghe, Dominique; Golub, Alexander; Ward, John; Zenghelis, Dimitri; Marijs, Cor; Schopp, Anne; Rogers, John A.; Midgley, Amelia. 2020. Preparedness of Countries to Low-Carbon Transition (Chapter 5). In: Diversification and Cooperation in a Decarbonizing World : Climate Strategies for Fossil Fuel-Dependent Countries. Climate Change and Development. Washington, DC: World Bank. © World Bank. https://openknowledge.worldbank.org/handle/10986/34011 License: CC BY 3.0 IGO. Accessed on 2021-10-15.",ECFTPE,"Preparedness of Countries for a Low-Carbon Transition; Exposure","Environment, Climate Change, Financial and Physical and Transition Risk Indicators, Transition Risks, Preparedness of Countries for a Low-Carbon Transition, Exposure",0.338750243133524
34,Canada,CA,CAN,Resilience,Index,"Peszko, Grzegorz; van der Mensbrugghe, Dominique; Golub, Alexander; Ward, John; Zenghelis, Dimitri; Marijs, Cor; Schopp, Anne; Rogers, John A.; Midgley, Amelia. 2020. Preparedness of Countries to Low-Carbon Transition (Chapter 5). In: Diversification and Cooperation in a Decarbonizing World : Climate Strategies for Fossil Fuel-Dependent Countries. Climate Change and Development. Washington, DC: World Bank. © World Bank. https://openknowledge.worldbank.org/handle/10986/34011 License: CC BY 3.0 IGO. Accessed on 2021-10-15.",ECFTPR,"Preparedness of Countries for a Low-Carbon Transition; Resilience","Environment, Climate Change, Financial and Physical and Transition Risk Indicators, Transition Risks, Preparedness of Countries for a Low-Carbon Transition, Resilience",0.338823098146654
35,Chile,CL,CHL,Exposure,Index,"Peszko, Grzegorz; van der Mensbrugghe, Dominique; Golub, Alexander; Ward, John; Zenghelis, Dimitri; Marijs, Cor; Schopp, Anne; Rogers, John A.; Midgley, Amelia. 2020. Preparedness of Countries to Low-Carbon Transition (Chapter 5). In: Diversification and Cooperation in a Decarbonizing World : Climate Strategies for Fossil Fuel-Dependent Countries. Climate Change and Development. Washington, DC: World Bank. © World Bank. https://openknowledge.worldbank.org/handle/10986/34011 License: CC BY 3.0 IGO. Accessed on 2021-10-15.",ECFTPE,"Preparedness of Countries for a Low-Carbon Transition; Exposure","Environment, Climate Change, Financial and Physical and Transition Risk Indicators, Transition Risks, Preparedness of Countries for a Low-Carbon Transition, Exposure",0.321190112400895
36,Chile,CL,CHL,Resilience,Index,"Peszko, Grzegorz; van der Mensbrugghe, Dominique; Golub, Alexander; Ward, John; Zenghelis, Dimitri; Marijs, Cor; Schopp, Anne; Rogers, John A.; Midgley, Amelia. 2020. Preparedness of Countries to Low-Carbon Transition (Chapter 5). In: Diversification and Cooperation in a Decarbonizing World : Climate Strategies for Fossil Fuel-Dependent Countries. Climate Change and Development. Washington, DC: World Bank. © World Bank. https://openknowledge.worldbank.org/handle/10986/34011 License: CC BY 3.0 IGO. Accessed on 2021-10-15.",ECFTPR,"Preparedness of Countries for a Low-Carbon Transition; Resilience","Environment, Climate Change, Financial and Physical and Transition Risk Indicators, Transition Risks, Preparedness of Countries for a Low-Carbon Transition, Resilience",0.508813856818058
