topic,data,year,value,metric,ten_year_change
Cancer Survival Rates,,2020,NA,,
Cancer Survival Rates,,2021,NA,,
Dementia,Incidence,2009,5100421,,
Dementia,Incidence,2010,5275999,,
Dementia,Incidence,2011,5462761,,
Dementia,Incidence,2012,5665887,,
Dementia,Incidence,2013,5877641,,
Dementia,Incidence,2014,6094468,,
Dementia,Incidence,2015,6310572,,
Dementia,Incidence,2016,6550073,,
Dementia,Incidence,2017,6794975,,
Dementia,Incidence,2018,7018467,,
Dementia,Incidence,2019,7236385,,
Dementia,Incidence,2020,NA,,
Dementia,Incidence,2021,NA,,
Health Expenditure,current expenditure per capita (current US$),2009,874,,
Health Expenditure,current expenditure per capita (current US$),2010,912,,
Health Expenditure,current expenditure per capita (current US$),2011,986,,
Health Expenditure,current expenditure per capita (current US$),2012,996,,
Health Expenditure,current expenditure per capita (current US$),2013,1012,,
Health Expenditure,current expenditure per capita (current US$),2014,1035,,
Health Expenditure,current expenditure per capita (current US$),2015,994,,
Health Expenditure,current expenditure per capita (current US$),2016,1016,,
Health Expenditure,current expenditure per capita (current US$),2017,1057,,
Health Expenditure,current expenditure per capita (current US$),2018,1103,,
Health Expenditure,current expenditure per capita (current US$),2019,1122,,
Health Expenditure,current expenditure per capita (current US$),2020,NA,,
Health Expenditure,current expenditure per capita (current US$),2021,NA,,
Infant Mortality,mortality per 1000 live births,2009,38.6,%,-25%
Infant Mortality,mortality per 1000 live births,2010,37.2,%,-25%
Infant Mortality,mortality per 1000 live births,2011,35.8,%,-25%
Infant Mortality,mortality per 1000 live births,2012,34.5,%,-25%
Infant Mortality,mortality per 1000 live births,2013,33.3,%,-25%
Infant Mortality,mortality per 1000 live births,2014,32.2,%,-25%
Infant Mortality,mortality per 1000 live births,2015,31.2,%,-25%
Infant Mortality,mortality per 1000 live births,2016,30.3,%,-25%
Infant Mortality,mortality per 1000 live births,2017,29.4,%,-25%
Infant Mortality,mortality per 1000 live births,2018,29,%,-25%
Infant Mortality,mortality per 1000 live births,2019,28,%,-25%
Infant Mortality,mortality per 1000 live births,2020,27,%,-25%
Infant Mortality,mortality per 1000 live births,2021,NA,%,-25%
Maternal Mortality,No of Maternal Deaths,2009,354000,,
Maternal Mortality,No of Maternal Deaths,2010,343000,,
Maternal Mortality,No of Maternal Deaths,2011,334000,,
Maternal Mortality,No of Maternal Deaths,2012,326000,,
Maternal Mortality,No of Maternal Deaths,2013,319000,,
Maternal Mortality,No of Maternal Deaths,2014,313000,,
Maternal Mortality,No of Maternal Deaths,2015,306000,,
Maternal Mortality,No of Maternal Deaths,2016,300000,,
Maternal Mortality,No of Maternal Deaths,2017,295000,,
Maternal Mortality,No of Maternal Deaths,2018,NA,,
Maternal Mortality,No of Maternal Deaths,2019,NA,,
Maternal Mortality,No of Maternal Deaths,2020,NA,,
Maternal Mortality,No of Maternal Deaths,2021,NA,,
Renewable Energy,Share of global electricity production,2009,19.1,%,44%
Renewable Energy,Share of global electricity production,2010,19.4,%,44%
Renewable Energy,Share of global electricity production,2011,19.8,%,44%
Renewable Energy,Share of global electricity production,2012,20.6,%,44%
Renewable Energy,Share of global electricity production,2013,21.5,%,44%
Renewable Energy,Share of global electricity production,2014,22,%,44%
Renewable Energy,Share of global electricity production,2015,22.7,%,44%
Renewable Energy,Share of global electricity production,2016,23.5,%,44%
Renewable Energy,Share of global electricity production,2017,24.4,%,44%
Renewable Energy,Share of global electricity production,2018,25,%,44%
Renewable Energy,Share of global electricity production,2019,26,%,44%
Renewable Energy,Share of global electricity production,2020,27.9,%,44%
Renewable Energy,Share of global electricity production,2021,27.9,%,44%
Renewable Energy,Share of global primary energy,2009,8.57,%,53%
Renewable Energy,Share of global primary energy,2010,8.81,%,53%
Renewable Energy,Share of global primary energy,2011,8.99,%,53%
Renewable Energy,Share of global primary energy,2012,9.42,%,53%
Renewable Energy,Share of global primary energy,2013,9.860000000000001,%,53%
Renewable Energy,Share of global primary energy,2014,10.219999999999999,%,53%
Renewable Energy,Share of global primary energy,2015,10.5,%,53%
Renewable Energy,Share of global primary energy,2016,10.93,%,53%
Renewable Energy,Share of global primary energy,2017,11.360000000000001,%,53%
Renewable Energy,Share of global primary energy,2018,11.739999999999998,%,53%
Renewable Energy,Share of global primary energy,2019,12.239999999999998,%,53%
Renewable Energy,Share of global primary energy,2020,13.46,%,53%
Renewable Energy,Share of global primary energy,2021,13.47,%,53%
Renewable Energy,Global energy-generating capacity,2009,95,watts per capita,
Renewable Energy,Global energy-generating capacity,2010,102,watts per capita,
Renewable Energy,Global energy-generating capacity,2011,110,watts per capita,
Renewable Energy,Global energy-generating capacity,2012,118,watts per capita,
Renewable Energy,Global energy-generating capacity,2013,129,watts per capita,
Renewable Energy,Global energy-generating capacity,2014,142,watts per capita,
Renewable Energy,Global energy-generating capacity,2015,156,watts per capita,
Renewable Energy,Global energy-generating capacity,2016,171,watts per capita,
Renewable Energy,Global energy-generating capacity,2017,188,watts per capita,
Renewable Energy,Global energy-generating capacity,2018,205,watts per capita,
Renewable Energy,Global energy-generating capacity,2019,220,watts per capita,
Renewable Energy,Global energy-generating capacity,2020,246,watts per capita,
Renewable Energy,Global energy-generating capacity,2021,NA,watts per capita,
Wind Power,Share of global electricity production,2009,1.36,%,270%
Wind Power,Share of global electricity production,2010,1.61,%,270%
Wind Power,Share of global electricity production,2011,1.98,%,270%
Wind Power,Share of global electricity production,2012,2.32,%,270%
Wind Power,Share of global electricity production,2013,2.71,%,270%
Wind Power,Share of global electricity production,2014,2.9299999999999997,%,270%
Wind Power,Share of global electricity production,2015,3.42,%,270%
Wind Power,Share of global electricity production,2016,3.86,%,270%
Wind Power,Share of global electricity production,2017,4.45,%,270%
Wind Power,Share of global electricity production,2018,4.76,%,270%
Wind Power,Share of global electricity production,2019,5.25,%,270%
Wind Power,Share of global electricity production,2020,5.94,%,270%
Wind Power,Share of global electricity production,2021,6.54,%,270%
Wind Power,Total Electricity generated from Wind,2009,277,Terawatt Hours (Twh) per year,361%
Wind Power,Total Electricity generated from Wind,2010,346,Terawatt Hours (Twh) per year,361%
Wind Power,Total Electricity generated from Wind,2011,440,Terawatt Hours (Twh) per year,361%
Wind Power,Total Electricity generated from Wind,2012,530,Terawatt Hours (Twh) per year,361%
Wind Power,Total Electricity generated from Wind,2013,636,Terawatt Hours (Twh) per year,361%
Wind Power,Total Electricity generated from Wind,2014,706,Terawatt Hours (Twh) per year,361%
Wind Power,Total Electricity generated from Wind,2015,831,Terawatt Hours (Twh) per year,361%
Wind Power,Total Electricity generated from Wind,2016,962,Terawatt Hours (Twh) per year,361%
Wind Power,Total Electricity generated from Wind,2017,1140,Terawatt Hours (Twh) per year,361%
Wind Power,Total Electricity generated from Wind,2018,1270,Terawatt Hours (Twh) per year,361%
Wind Power,Total Electricity generated from Wind,2019,1421,Terawatt Hours (Twh) per year,361%
Wind Power,Total Electricity generated from Wind,2020,1596,Terawatt Hours (Twh) per year,361%
Wind Power,Total Electricity generated from Wind,2021,1862,Terawatt Hours (Twh) per year,361%
Wind Power,Share of global primary energy production,2009,0.5700000000000001,%,293%
Wind Power,Share of global primary energy production,2010,0.6799999999999999,%,293%
Wind Power,Share of global primary energy production,2011,0.8400000000000001,%,293%
Wind Power,Share of global primary energy production,2012,0.99,%,293%
Wind Power,Share of global primary energy production,2013,1.1600000000000001,%,293%
Wind Power,Share of global primary energy production,2014,1.27,%,293%
Wind Power,Share of global primary energy production,2015,1.47,%,293%
Wind Power,Share of global primary energy production,2016,1.6700000000000002,%,293%
Wind Power,Share of global primary energy production,2017,1.93,%,293%
Wind Power,Share of global primary energy production,2018,2.08,%,293%
Wind Power,Share of global primary energy production,2019,2.29,%,293%
Wind Power,Share of global primary energy production,2020,2.68,%,293%
Wind Power,Share of global primary energy production,2021,2.9499999999999997,%,293%
Solar Power,Share of global electricity production,2009,0.1,%,1903%
Solar Power,Share of global electricity production,2010,0.16,%,1903%
Solar Power,Share of global electricity production,2011,0.29000000000000004,%,1903%
Solar Power,Share of global electricity production,2012,0.45,%,1903%
Solar Power,Share of global electricity production,2013,0.59,%,1903%
Solar Power,Share of global electricity production,2014,0.8200000000000001,%,1903%
Solar Power,Share of global electricity production,2015,1.05,%,1903%
Solar Power,Share of global electricity production,2016,1.31,%,1903%
Solar Power,Share of global electricity production,2017,1.74,%,1903%
Solar Power,Share of global electricity production,2018,2.16,%,1903%
Solar Power,Share of global electricity production,2019,2.6,%,1903%
Solar Power,Share of global electricity production,2020,3.15,%,1903%
Solar Power,Share of global electricity production,2021,3.63,%,1903%
Solar Power,Share of global primary energy,2009,0.04,%,2030%
Solar Power,Share of global primary energy,2010,0.07,%,2030%
Solar Power,Share of global primary energy,2011,0.13,%,2030%
Solar Power,Share of global primary energy,2012,0.19,%,2030%
Solar Power,Share of global primary energy,2013,0.25,%,2030%
Solar Power,Share of global primary energy,2014,0.35,%,2030%
Solar Power,Share of global primary energy,2015,0.45,%,2030%
Solar Power,Share of global primary energy,2016,0.5700000000000001,%,2030%
Solar Power,Share of global primary energy,2017,0.75,%,2030%
Solar Power,Share of global primary energy,2018,0.9400000000000001,%,2030%
Solar Power,Share of global primary energy,2019,1.1400000000000001,%,2030%
Solar Power,Share of global primary energy,2020,1.42,%,2030%
Solar Power,Share of global primary energy,2021,1.6300000000000001,%,2030%
Photovoltaic Solar Power (PV),Cumulative capacity,2009,22844,Megawatts (MW),1661%
Photovoltaic Solar Power (PV),Cumulative capacity,2010,40338,Megawatts (MW),1661%
Photovoltaic Solar Power (PV),Cumulative capacity,2011,72216,Megawatts (MW),1661%
Photovoltaic Solar Power (PV),Cumulative capacity,2012,101745,Megawatts (MW),1661%
Photovoltaic Solar Power (PV),Cumulative capacity,2013,137227,Megawatts (MW),1661%
Photovoltaic Solar Power (PV),Cumulative capacity,2014,175617,Megawatts (MW),1661%
Photovoltaic Solar Power (PV),Cumulative capacity,2015,223204,Megawatts (MW),1661%
Photovoltaic Solar Power (PV),Cumulative capacity,2016,295229,Megawatts (MW),1661%
Photovoltaic Solar Power (PV),Cumulative capacity,2017,390207,Megawatts (MW),1661%
Photovoltaic Solar Power (PV),Cumulative capacity,2018,483012,Megawatts (MW),1661%
Photovoltaic Solar Power (PV),Cumulative capacity,2019,584686,Megawatts (MW),1661%
Photovoltaic Solar Power (PV),Cumulative capacity,2020,710281,Megawatts (MW),1661%
Photovoltaic Solar Power (PV),Cumulative capacity,2021,843086,Megawatts (MW),1661%
Photovoltaic Solar Power (PV),Installation Cost,2009,NA,$/KWh,-81%
Photovoltaic Solar Power (PV),Installation Cost,2010,4808,$/KWh,-81%
Photovoltaic Solar Power (PV),Installation Cost,2011,4104,$/KWh,-81%
Photovoltaic Solar Power (PV),Installation Cost,2012,3124,$/KWh,-81%
Photovoltaic Solar Power (PV),Installation Cost,2013,2742,$/KWh,-81%
Photovoltaic Solar Power (PV),Installation Cost,2014,2478,$/KWh,-81%
Photovoltaic Solar Power (PV),Installation Cost,2015,1887,$/KWh,-81%
Photovoltaic Solar Power (PV),Installation Cost,2016,1717,$/KWh,-81%
Photovoltaic Solar Power (PV),Installation Cost,2017,1483,$/KWh,-81%
Photovoltaic Solar Power (PV),Installation Cost,2018,1267,$/KWh,-81%
Photovoltaic Solar Power (PV),Installation Cost,2019,1046,$/KWh,-81%
Photovoltaic Solar Power (PV),Installation Cost,2020,916,$/KWh,-81%
Photovoltaic Solar Power (PV),Installation Cost,2021,857,$/KWh,-81%
Solar Power PV Generation Cost,,2009,NA,$ cents per KWh,
Solar Power PV Generation Cost,,2010,NA,$ cents per KWh,
Solar Power PV Generation Cost,,2011,NA,$ cents per KWh,
Solar Power PV Generation Cost,,2012,NA,$ cents per KWh,
Solar Power PV Generation Cost,,2013,NA,$ cents per KWh,
Solar Power PV Generation Cost,,2014,NA,$ cents per KWh,
Solar Power PV Generation Cost,,2015,NA,$ cents per KWh,
Solar Power PV Generation Cost,,2016,NA,$ cents per KWh,
Solar Power PV Generation Cost,,2017,NA,$ cents per KWh,
Solar Power PV Generation Cost,,2018,NA,$ cents per KWh,
Solar Power PV Generation Cost,,2019,NA,$ cents per KWh,
Solar Power PV Generation Cost,,2020,NA,$ cents per KWh,
Solar Power PV Generation Cost,,2021,4.8,$ cents per KWh,
Renewables,New Investment,2009,195,$USD billions,
Renewables,New Investment,2010,271,$USD billions,
Renewables,New Investment,2011,323,$USD billions,
Renewables,New Investment,2012,290,$USD billions,
Renewables,New Investment,2013,267,$USD billions,
Renewables,New Investment,2014,328,$USD billions,
Renewables,New Investment,2015,356,$USD billions,
Renewables,New Investment,2016,344,$USD billions,
Renewables,New Investment,2017,392,$USD billions,
Renewables,New Investment,2018,362,$USD billions,
Renewables,New Investment,2019,363,$USD billions,
Renewables,New Investment,2020,NA,$USD billions,
Renewables,New Investment,2021,NA,$USD billions,
Nuclear Power,as % of global electricity production,2009,13.3,,-22%
Nuclear Power,as % of global electricity production,2010,12.8,,-22%
Nuclear Power,as % of global electricity production,2011,11.9,,-22%
Nuclear Power,as % of global electricity production,2012,10.8,,-22%
Nuclear Power,as % of global electricity production,2013,10.6,,-22%
Nuclear Power,as % of global electricity production,2014,10.6,,-22%
Nuclear Power,as % of global electricity production,2015,10.6,,-22%
Nuclear Power,as % of global electricity production,2016,10.5,,-22%
Nuclear Power,as % of global electricity production,2017,10.3,,-22%
Nuclear Power,as % of global electricity production,2018,10.1,,-22%
Nuclear Power,as % of global electricity production,2019,10.3,,-22%
Nuclear Power,as % of global electricity production,2020,10,,-22%
Nuclear Power,as % of global electricity production,2021,9.8,,-22%
Natural Gas,as % of global electricity production,2009,22,,4%
Natural Gas,as % of global electricity production,2010,22.7,,4%
Natural Gas,as % of global electricity production,2011,22.2,,4%
Natural Gas,as % of global electricity production,2012,23,,4%
Natural Gas,as % of global electricity production,2013,21.9,,4%
Natural Gas,as % of global electricity production,2014,21.9,,4%
Natural Gas,as % of global electricity production,2015,23.1,,4%
Natural Gas,as % of global electricity production,2016,23.5,,4%
Natural Gas,as % of global electricity production,2017,23.2,,4%
Natural Gas,as % of global electricity production,2018,23.3,,4%
Natural Gas,as % of global electricity production,2019,23.7,,4%
Natural Gas,as % of global electricity production,2020,23.7,,4%
Natural Gas,as % of global electricity production,2021,22.9,,4%
Oil,as % of global electricity production,2009,4.9,,-43%
Oil,as % of global electricity production,2010,4.4,,-43%
Oil,as % of global electricity production,2011,4.7,,-43%
Oil,as % of global electricity production,2012,5,,-43%
Oil,as % of global electricity production,2013,4.6,,-43%
Oil,as % of global electricity production,2014,4.3,,-43%
Oil,as % of global electricity production,2015,4.2,,-43%
Oil,as % of global electricity production,2016,3.8,,-43%
Oil,as % of global electricity production,2017,3.4,,-43%
Oil,as % of global electricity production,2018,2.9,,-43%
Oil,as % of global electricity production,2019,2.6,,-43%
Oil,as % of global electricity production,2020,2.5,,-43%
Oil,as % of global electricity production,2021,2.5,,-43%
Coal,as % of global electricity production,2009,40,,-12%
Coal,as % of global electricity production,2010,40,,-12%
Coal,as % of global electricity production,2011,40.8,,-12%
Coal,as % of global electricity production,2012,39.9,,-12%
Coal,as % of global electricity production,2013,40.8,,-12%
Coal,as % of global electricity production,2014,40.6,,-12%
Coal,as % of global electricity production,2015,38.7,,-12%
Coal,as % of global electricity production,2016,37.8,,-12%
Coal,as % of global electricity production,2017,37.9,,-12%
Coal,as % of global electricity production,2018,37.9,,-12%
Coal,as % of global electricity production,2019,36.5,,-12%
Coal,as % of global electricity production,2020,35.1,,-12%
Coal,as % of global electricity production,2021,36,,-12%
Extreme Poverty,% not in extreme poverty,2009,NA,%,
Extreme Poverty,% not in extreme poverty,2010,83.69,%,
Extreme Poverty,% not in extreme poverty,2011,85.86999999999999,%,
Extreme Poverty,% not in extreme poverty,2012,87.26,%,
Extreme Poverty,% not in extreme poverty,2013,NA,%,
Extreme Poverty,% not in extreme poverty,2014,NA,%,
Extreme Poverty,% not in extreme poverty,2015,90.39,%,
Extreme Poverty,% not in extreme poverty,2016,NA,%,
Extreme Poverty,% not in extreme poverty,2017,NA,%,
Extreme Poverty,% not in extreme poverty,2018,91.4,%,
Extreme Poverty,% not in extreme poverty,2019,NA,%,
Extreme Poverty,% not in extreme poverty,2020,NA,%,
Extreme Poverty,% not in extreme poverty,2021,NA,%,
Access to Electricity,% of global population,2009,83.2,%,8%
Access to Electricity,% of global population,2010,83.5,%,8%
Access to Electricity,% of global population,2011,82.5,%,8%
Access to Electricity,% of global population,2012,85,%,8%
Access to Electricity,% of global population,2013,85.2,%,8%
Access to Electricity,% of global population,2014,85.7,%,8%
Access to Electricity,% of global population,2015,87,%,8%
Access to Electricity,% of global population,2016,87.4,%,8%
Access to Electricity,% of global population,2017,88.9,%,8%
Access to Electricity,% of global population,2018,NA,%,8%
Access to Electricity,% of global population,2019,NA,%,8%
Access to Electricity,% of global population,2020,90.5,%,8%
Access to Electricity,% of global population,2021,NA,%,8%
Access to Internet,% of global population,2009,26,%,107%
Access to Internet,% of global population,2010,29,%,107%
Access to Internet,% of global population,2011,31,%,107%
Access to Internet,% of global population,2012,34,%,107%
Access to Internet,% of global population,2013,36,%,107%
